,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,stimulus_type,task,trial_color,trial_direction,trial_orientation,trial_position_x,trial_position_y,trial_type
127,80.0,75.0,70.0,45.0,s,1.0,0.90016232748075709,-1.0,0.0,1.0,13.330951504710001,-1.0,-6.8784286403763009,0.0,0.0,1.0
128,-80.0,75.0,70.0,45.0,l,1.0,0.48347589491083909,1.0,2.0,2.0,-2.3329165133242498,1.0,9.7221606224400006,0.0,0.0,1.0
129,80.0,75.0,70.0,135.0,f,0.0,0.49183174046765998,1.0,0.0,1.0,6.6654757523550003,-1.0,4.8610803112200003,0.0,0.0,0.0
130,-80.0,75.0,70.0,45.0,s,0.0,0.80843076593259866,-1.0,1.0,1.0,-9.3983208108205503,1.0,1.2152700778050001,0.0,0.0,0.0
131,-80.0,75.0,70.0,45.0,s,0.0,1.0834102112936534,-1.0,1.0,1.0,-6.6654757523550003,1.0,-2.4305401556100001,0.0,0.0,0.0
132,80.0,75.0,70.0,135.0,f,1.0,0.62516976820290893,1.0,1.0,1.0,6.6654757523550003,1.0,4.8610803112200003,0.0,0.0,1.0
133,80.0,75.0,70.0,135.0,j,1.0,1.1917380044724268,-1.0,1.0,2.0,6.6654757523550003,-1.0,0.85068905446349996,0.0,0.0,1.0
134,-80.0,75.0,70.0,45.0,s,1.0,0.55010627974149884,-1.0,2.0,1.0,-18.863296379164652,-1.0,-2.4305401556100001,0.0,0.0,1.0
135,-80.0,75.0,70.0,45.0,j,1.0,0.86674578729684981,-1.0,2.0,2.0,-1.6663689380887501,-1.0,-1.2152700778050001,0.0,0.0,1.0
136,-80.0,75.0,70.0,135.0,s,1.0,1.0500774861419586,-1.0,3.0,1.0,-4.6658330266484995,-1.0,9.7221606224400006,0.0,0.0,1.0
137,-80.0,75.0,70.0,45.0,s,0.0,0.64179251275186289,-1.0,0.0,1.0,-3.3327378761775002,1.0,1.2152700778050001,0.0,0.0,0.0
138,-80.0,75.0,70.0,45.0,s,0.0,0.70843316064770079,-1.0,3.0,1.0,-3.3327378761775002,1.0,-1.7013781089269999,0.0,0.0,0.0
139,-80.0,75.0,70.0,45.0,s,1.0,0.60013929260117038,-1.0,2.0,1.0,-6.6654757523550003,-1.0,-4.8610803112200003,0.0,0.0,1.0
140,80.0,75.0,70.0,135.0,s,1.0,0.47513458869616443,-1.0,3.0,1.0,9.3983208108205503,-1.0,-1.7013781089269999,0.0,0.0,0.0
141,80.0,75.0,70.0,45.0,f,1.0,0.70011323581900342,1.0,0.0,1.0,9.3983208108205503,1.0,-6.8784286403763009,0.0,0.0,1.0
142,80.0,75.0,70.0,45.0,s,1.0,0.62515608411615631,-1.0,0.0,1.0,18.863296379164652,-1.0,-6.8784286403763009,0.0,0.0,1.0
143,80.0,75.0,70.0,135.0,f,1.0,0.44182124933422529,1.0,1.0,1.0,13.330951504710001,1.0,4.8610803112200003,0.0,0.0,1.0
144,-80.0,75.0,70.0,45.0,j,1.0,0.61679311143063842,-1.0,3.0,2.0,-6.6654757523550003,-1.0,-1.2152700778050001,0.0,0.0,0.0
145,-80.0,75.0,70.0,135.0,s,1.0,1.0001140340574466,-1.0,1.0,1.0,-6.6654757523550003,-1.0,-4.8610803112200003,0.0,0.0,0.0
146,-80.0,75.0,70.0,135.0,f,0.0,0.88340758851040846,1.0,3.0,2.0,-26.661903009420001,-1.0,2.4305401556100001,0.0,0.0,1.0
147,80.0,75.0,70.0,45.0,j,1.0,0.95010382800921889,-1.0,2.0,2.0,9.3983208108205503,-1.0,-4.8610803112200003,0.0,0.0,0.0
148,80.0,75.0,70.0,135.0,j,1.0,1.0917566490408035,-1.0,2.0,2.0,13.330951504710001,-1.0,2.4305401556100001,0.0,0.0,0.0
149,80.0,75.0,70.0,135.0,s,1.0,0.58357356508088287,-1.0,1.0,1.0,9.3983208108205503,-1.0,-1.7013781089269999,0.0,0.0,1.0
150,-80.0,75.0,70.0,45.0,s,1.0,0.63342839972585807,-1.0,0.0,1.0,-9.3983208108205503,-1.0,1.7013781089269999,0.0,0.0,0.0
151,-80.0,75.0,70.0,135.0,f,1.0,1.0250877777157257,1.0,0.0,1.0,-6.6654757523550003,1.0,1.7013781089269999,0.0,0.0,0.0
152,-80.0,75.0,70.0,45.0,s,1.0,0.57512364142678507,-1.0,2.0,1.0,-9.3983208108205503,-1.0,1.2152700778050001,0.0,0.0,1.0
153,-80.0,75.0,70.0,135.0,f,1.0,0.96673598036784369,1.0,0.0,1.0,-13.330951504710001,1.0,-1.7013781089269999,0.0,0.0,0.0
154,-80.0,75.0,70.0,45.0,s,0.0,0.72506046655894352,-1.0,2.0,1.0,-1.6663689380887501,1.0,2.4305401556100001,0.0,0.0,1.0
155,80.0,75.0,70.0,45.0,j,1.0,0.85006745114492333,-1.0,1.0,2.0,9.3983208108205503,-1.0,-4.8610803112200003,0.0,0.0,0.0
